dist,name,rating
AL-02,Moore,LIKELY DEMOCRAT
CA-09,Harder,LIKELY DEMOCRAT
CA-49,Levin,LIKELY DEMOCRAT
FL-09,Soto,LIKELY DEMOCRAT
FL-23,Moskowitz,LIKELY DEMOCRAT
KS-03,Davids,LIKELY DEMOCRAT
MD-06,Open (Trone),LIKELY DEMOCRAT
MI-03,Scholten,LIKELY DEMOCRAT
MI-08,Kildee,LIKELY DEMOCRAT
MN-02,Craig,LIKELY DEMOCRAT
NH-01,Pappas,LIKELY DEMOCRAT
NH-02,Kuster,LIKELY DEMOCRAT
NV-01,Titus,LIKELY DEMOCRAT
NV-04,Horsford,LIKELY DEMOCRAT
OR-04,Hoyle,LIKELY DEMOCRAT
TX-28,Cuellar,LIKELY DEMOCRAT
VA-07,Spanberger,LIKELY DEMOCRAT
VA-10,Open (Wexton),LIKELY DEMOCRAT
WA-08,Schrier,LIKELY DEMOCRAT
AK-AL,Peltola,LEAN DEMOCRAT
CA-47,Open (Porter),LEAN DEMOCRAT
CT-05,Hayes,LEAN DEMOCRAT
IL-17,Sorensen,LEAN DEMOCRAT
IN-01,Mrvan,LEAN DEMOCRAT
ME-02,Golden,LEAN DEMOCRAT
NC-01,Davis,LEAN DEMOCRAT
NV-03,Lee,LEAN DEMOCRAT
NY-03,Santos,LEAN DEMOCRAT
NY-18,Ryan,LEAN DEMOCRAT
OH-01,Landsman,LEAN DEMOCRAT
OH-09,Kaptur,LEAN DEMOCRAT
OR-06,Salinas,LEAN DEMOCRAT
PA-17,Deluzio,LEAN DEMOCRAT
TX-34,Gonzalez,LEAN DEMOCRAT
CO-08,Caraveo,DEMOCRAT TOSS UP
MI-07,Open (Slotkin),DEMOCRAT TOSS UP
NC-06,Manning,DEMOCRAT TOSS UP
NC-13,Nickel,DEMOCRAT TOSS UP
NC-14,Jackson,DEMOCRAT TOSS UP
NM-02,Vasquez,DEMOCRAT TOSS UP
OH-13,Sykes,DEMOCRAT TOSS UP
PA-07,Wild,DEMOCRAT TOSS UP
PA-08,Cartwright,DEMOCRAT TOSS UP
WA-03,Perez,DEMOCRAT TOSS UP
AZ-01,Schweikert,REPUBLICAN TOSS UP
AZ-06,Ciscomani,REPUBLICAN TOSS UP
CA-13,Duarte,REPUBLICAN TOSS UP
CA-27,Garcia,REPUBLICAN TOSS UP
CA-41,Calvert,REPUBLICAN TOSS UP
CO-03,Boebert,REPUBLICAN TOSS UP
FL-05,Rutherford,REPUBLICAN TOSS UP
LA-05,Letlow,REPUBLICAN TOSS UP
NJ-07,Kean Jr.,REPUBLICAN TOSS UP
NY-04,D'Esposito,REPUBLICAN TOSS UP
NY-17,Lawler,REPUBLICAN TOSS UP
NY-19,Molinaro,REPUBLICAN TOSS UP
NY-22,Williams,REPUBLICAN TOSS UP
OR-05,Chavez-DeRemer,REPUBLICAN TOSS UP
CA-22,Valadao,LEAN REPUBLICAN
CA-45,Steel,LEAN REPUBLICAN
IA-03,Nunn,LEAN REPUBLICAN
MI-10,James,LEAN REPUBLICAN
NE-02,Bacon,LEAN REPUBLICAN
VA-02,Kiggans,LEAN REPUBLICAN
CA-03,Kiley,LIKELY REPUBLICAN
CA-40,Kim,LIKELY REPUBLICAN
FL-13,Luna,LIKELY REPUBLICAN
IA-01,Miller-Meeks,LIKELY REPUBLICAN
LA-06,Graves,LIKELY REPUBLICAN
MT-01,Zinke,LIKELY REPUBLICAN
NY-01,LaLota,LIKELY REPUBLICAN
PA-01,Fitzpatrick,LIKELY REPUBLICAN
PA-10,Perry,LIKELY REPUBLICAN
SC-01,Mace,LIKELY REPUBLICAN
TX-15,De La Cruz,LIKELY REPUBLICAN
WI-03,Van Orden,LIKELY REPUBLICAN
