Dog Name,Primary Breed,Approval Date,Dog Tag Number
Raya,Alaskan Husky,9/14/2022,35105
Otis,"Poodle, Standard",9/14/2022,35111
Archie,Chihuahua,9/14/2022,35108
Molly,"Retriever, Labrador",9/14/2022,35102
Appa,"Terrier, American Staffordshire",9/14/2022,35117
Penny,"Terrier, Pit Bull",9/15/2022,
Hazel,"Terrier, American Staffordshire",9/15/2022,25382
Sweetpea,"Schnauzer, Miniature",9/15/2022,28048
Ranger,Mix,9/19/2022,
Xena,"Mixed Breed, Large (over 44 lbs fully grown)",9/19/2022,
Sunny,"Mixed Breed, Large (over 44 lbs fully grown)",9/19/2022,
Piper,"Retriever, Labrador",9/19/2022,
Aspen,"Vizsla, Smooth Haired",9/19/2022,
Shai,Boerboel,9/21/2022,35128
Ernie,Beagle,9/21/2022,35127
Mojo,"Mixed Breed, Large (over 44 lbs fully grown)",9/21/2022,35131
Stella,Maltese,9/21/2022,35129
Frankie,Siberian Husky,9/21/2022,35130
Kilo,"Terrier, Pit Bull",9/21/2022,35126
Beaker,Beagle,9/21/2022,35125
Kora,German Shepherd,9/21/2022,35123
Hamilton,"Welsh Corgi, Cardigan",9/21/2022,
Max,"Terrier, West Highland White",9/22/2022,35145
Ringo,"Retriever, Golden",9/22/2022,35146
Luca Zane,"Chihuahua, Short Coat",9/22/2022,35148
Waffles,"Bulldog, French",9/22/2022,35141
Pretty,"Poodle, Miniature",9/22/2022,35142
Racer,Terrier,9/22/2022,35135
Tomago,"Terrier, American Staffordshire",9/22/2022,35140
Tig,Mix,9/22/2022,35136
Kenai,Bichon Frise,9/22/2022,35152
Kylo,"Terrier, American Staffordshire",9/22/2022,
Nic,"Mixed Breed, Large (over 44 lbs fully grown)",9/22/2022,35138
Carrot,"Foxhound, American",9/22/2022,35139
Midge,Pug,9/22/2022,35153
Juno,German Shepherd,9/22/2022,
Shea,Shetland Sheepdog,9/22/2022,35143
Poppy,"Mixed Breed, Medium (up to 44 lbs fully grown)",9/22/2022,35147
Nougat,Greyhound,9/22/2022,35137
Izzy,Pug,9/22/2022,35133
Astro,"Terrier, Soft Coated Wheaten",9/22/2022,35149
Nala,"Vizsla, Smooth Haired",9/22/2022,
Deli,Terrier,9/22/2022,35150
Beauty,Beagle,9/22/2022,35144
Callie,"Retriever, Labrador",9/22/2022,35124
Moose,Bernese Mountain Dog,9/23/2022,35154
Eggnog,"Bulldog, French",9/23/2022,35156
Chuck,"Terrier, American Pit Bull",9/23/2022,35155
Gus,Beagle,9/23/2022,35101
Ruby,"Retriever, Golden",9/23/2022,
Bruno,"Terrier, American Pit Bull",9/23/2022,35159
Tango,Australian Cattle Dog,9/23/2022,
Figo,"Retriever, Labrador",9/23/2022,35157
Maizie,"Mixed Breed, Small (under 24 lbs fully grown)",9/23/2022,
Bubbles,Olde English Bulldogge,9/23/2022,35158
Mango,"Mixed Breed, Large (over 44 lbs fully grown)",9/25/2022,
Oslo,"Dachshund, Standard Long Haired",9/26/2022,
Emma,"Mixed Breed, Small (under 24 lbs fully grown)",9/27/2022,
Judge,Mix,9/28/2022,35176
Chip,Terrier,9/28/2022,35167
Buddy,"Terrier, American Pit Bull",9/28/2022,35163
Rosie,"Retriever, Golden",9/28/2022,35172
Teddy,"Retriever, Golden",9/28/2022,35164
Maple,German Shepherd,9/28/2022,35174
Sonoma,Mix,9/28/2022,35170
Papo,"Terrier, Boston",9/28/2022,35165
Matteo (Tay),"Terrier, Pit Bull",9/28/2022,35175
Fetty Paw,Retriever,9/28/2022,
Elaea Atwal,"Mixed Breed, Large (over 44 lbs fully grown)",9/28/2022,35160
Martin,"Spaniel, Cavalier King Charles",9/28/2022,35171
Otis,"Retriever, Labrador",9/28/2022,35166
Calpurnia,Australian Cattle Dog,9/28/2022,35162
Sushi,"Poodle, Toy",9/28/2022,35173
Jelly Bean,"Mixed Breed, Small (under 24 lbs fully grown)",9/29/2022,
Biscuit,"Mixed Breed, Large (over 44 lbs fully grown)",9/30/2022,
Mack,Rhodesian Ridgeback,10/1/2022,
Apollo,Boxer,10/4/2022,
Citra,Hound,10/4/2022,
Bandit,Miniature Pinscher,10/4/2022,
Valkyrie,"Retriever, Labrador",10/5/2022,35189
Rex,"Retriever, Golden",10/5/2022,35190
Agent Fury,"Retriever, Labrador",10/5/2022,35191
Coco,Bernese Mountain Dog,10/5/2022,35182
Theo,Maremma Sheepdog,10/5/2022,35188
MJ,German Shepherd,10/5/2022,35195
Prilla,"Mixed Breed, Large (over 44 lbs fully grown)",10/5/2022,35169
Arthur,"Retriever, Golden",10/5/2022,35186
Sadie,"Cur, Mountain",10/5/2022,35194
Millie,"Poodle, Standard",10/5/2022,35183
Hoppy,"Mixed Breed, Medium (up to 44 lbs fully grown)",10/5/2022,35180
Wolfgang,"Chihuahua, Long Coat",10/5/2022,35197
Maverick,Mix,10/5/2022,35177
Aretha,Norwegian Elkhound,10/5/2022,35336
Daisy,Terrier,10/5/2022,
Jinx,Alaskan Husky,10/5/2022,35199
JoJo,"Dachshund, Standard Smooth Haired",10/5/2022,35196
Bucky,German Shepherd,10/5/2022,35200
Remington,"Welsh Corgi, Pembroke",10/5/2022,35178
Appa,Alaskan Malamute,10/5/2022,35181
Coco,Chihuahua,10/5/2022,35184
Leonidas,"Chihuahua, Short Coat",10/5/2022,35198
Roscoe,"Retriever, Labrador",10/5/2022,35187
Daizy,"Terrier, Irish",10/5/2022,35192
Ash Toon,Australian Cattle Dog,10/5/2022,35179
Eklutna,Border Collie,10/5/2022,35168
Sugar,,10/5/2022,35193
Gibson,,10/5/2022,35185
Sally,"Mixed Breed, Medium (up to 44 lbs fully grown)",10/6/2022,35500
Goose,"Retriever, Golden",10/6/2022,35499
Gizmo,German Shepherd,10/7/2022,35498
Paco,Chihuahua,10/7/2022,35497
Mickey,"Terrier, Sealyham",10/7/2022,35496
Piper,German Shepherd,10/8/2022,35495
Autumn,Plott Hound,10/11/2022,
Chummy Gray,"Poodle, Miniature",10/11/2022,
Baxter,"Vizsla, Smooth Haired",10/11/2022,
Penny,"Retriever, Labrador",10/13/2022,
Apollo,Pug,10/13/2022,
Dextrose,"Retriever, Golden",10/13/2022,29141
Carly,"Retriever, Flat-Coated",10/13/2022,
Nigel,"Bulldog, English",10/14/2022,35490
Rocky,Beagle,10/14/2022,35488
Peppa,"Bulldog, English",10/14/2022,35480
Freya,German Shepherd,10/14/2022,35483
Taffy,"Retriever, Labrador",10/14/2022,35482
Calypso,Portuguese Water Dog,10/14/2022,
Jasmine,Siberian Husky,10/14/2022,35484
Chispita,Chihuahua,10/14/2022,35477
Dottie,Australian Cattle Dog,10/14/2022,35474
Sky,Pomeranian,10/14/2022,35491
Del,Beagle,10/14/2022,35489
Roman,"Retriever, Labrador",10/14/2022,35473
Sven,"Poodle, Standard",10/14/2022,35476
Zowiebowie née Peter,Retriever,10/14/2022,35478
Walle,"Retriever, Golden",10/14/2022,35492
Bixby,Old English Sheepdog,10/14/2022,35481
Aya,Chihuahua,10/14/2022,35472
Cricket,Beagle,10/14/2022,35487
Breezy Blyden Canton,"Terrier, Jack Russell",10/14/2022,35479
Nuno Gorelik,Portuguese Podengo,10/14/2022,35485
Wally,"Terrier, Jack Russell",10/14/2022,35475
PIPO,Terrier,10/14/2022,35486
Zip,Border Collie,10/14/2022,29224
Bruce Lee,"Mixed Breed, Large (over 44 lbs fully grown)",10/16/2022,
Remy,"Mixed Breed, Medium (up to 44 lbs fully grown)",10/17/2022,
Murphy,"Retriever, Labrador",10/17/2022,
Maddie,Boxer,10/17/2022,
Axel,German Shepherd,10/17/2022,
Diamond garner,"Bulldog, American",10/17/2022,
Annie,"Mixed Breed, Large (over 44 lbs fully grown)",10/19/2022,
