Fiscal Year,Military Personnel Class,Unit Zip Code,Accession Total,Prior Service,Non-Prior Service
2013,Enlisted,     ,9,8,1
2013,Enlisted,00602,21,1,20
2013,Enlisted,00605,11,0,11
2013,Enlisted,00612,9,1,8
2013,Enlisted,00623,15,2,13
2013,Enlisted,00624,13,1,12
2013,Enlisted,00641,8,0,8
2013,Enlisted,00681,32,4,28
2013,Enlisted,00683,21,0,21
2013,Enlisted,00693,45,6,39
2013,Enlisted,00705,25,3,22
2013,Enlisted,00714,18,0,18
2013,Enlisted,00725,11,4,7
2013,Enlisted,00732,30,1,29
2013,Enlisted,00733,7,0,7
2013,Enlisted,00735,16,0,16
2013,Enlisted,00736,15,3,12
2013,Enlisted,00737,25,4,21
2013,Enlisted,00751,35,12,23
2013,Enlisted,00769,15,1,14
2013,Enlisted,00777,24,2,22
2013,Enlisted,00778,7,1,6
2013,Enlisted,00785,21,3,18
2013,Enlisted,00792,22,1,21
2013,Enlisted,00795,214,12,202
2013,Enlisted,00802,19,0,19
2013,Enlisted,00820,65,6,59
2013,Enlisted,00901,28,7,21
2013,Enlisted,00918,43,7,36
2013,Enlisted,00934,17,2,15
2013,Enlisted,00949,11,1,10
2013,Enlisted,00960,12,4,8
2013,Enlisted,00986,7,0,7
2013,Enlisted,01013,10,5,5
2013,Enlisted,01022,11,1,10
2013,Enlisted,01030,39,8,31
2013,Enlisted,01082,36,7,29
2013,Enlisted,01085,9,4,5
2013,Enlisted,01109,27,5,22
2013,Enlisted,01201,3,2,1
2013,Enlisted,01301,19,3,16
2013,Enlisted,01434,67,21,46
2013,Enlisted,01440,17,1,16
2013,Enlisted,01453,17,3,14
2013,Enlisted,01588,28,2,26
2013,Enlisted,01605,89,18,71
2013,Enlisted,01702,28,5,23
2013,Enlisted,01731,1,0,1
2013,Enlisted,01749,2,1,1
2013,Enlisted,01844,20,5,15
2013,Enlisted,01867,91,9,82
2013,Enlisted,01923,15,1,14
2013,Enlisted,01950,16,6,10
2013,Enlisted,02043,36,1,35
2013,Enlisted,02122,29,11,18
2013,Enlisted,02138,43,12,31
2013,Enlisted,02169,32,3,29
2013,Enlisted,02173,2,0,2
2013,Enlisted,02176,50,20,30
2013,Enlisted,02184,47,8,39
2013,Enlisted,02301,15,1,14
2013,Enlisted,02324,7,1,6
2013,Enlisted,02346,24,10,14
2013,Enlisted,02401,3,2,1
2013,Enlisted,02420,30,3,27
2013,Enlisted,02465,4,2,2
2013,Enlisted,02532,16,7,9
2013,Enlisted,02542,79,26,53
2013,Enlisted,02724,20,8,12
2013,Enlisted,02780,40,3,37
2013,Enlisted,02809,11,2,9
2013,Enlisted,02818,147,30,117
2013,Enlisted,02842,6,6,0
2013,Enlisted,02852,23,4,19
2013,Enlisted,02885,27,2,25
2013,Enlisted,02886,24,8,16
2013,Enlisted,02896,8,2,6
2013,Enlisted,02904,18,4,14
2013,Enlisted,02920,3,3,0
2013,Enlisted,03055,49,5,44
2013,Enlisted,03060,13,2,11
2013,Enlisted,03101,60,7,53
2013,Enlisted,03235,1,0,1
2013,Enlisted,03244,15,1,14
2013,Enlisted,03264,9,0,9
